"","id","observation_time","DOCEver","age_at_20000101","age_at_first_DOC_entry","DOC_entry_year","Indicator_of_SS_prior_to_DOC","age_at_first_post_2000_SS","year_of_first_post_2000_SS","ss_start_dt","bday18","DOC_entry_date","time_from_ss"
"1",2,4864,0,25,NA,NA,1,25,2000,2000-09-06,1995-05-30,NA,4863.70833333333
"2",28,4803,0,25,NA,NA,0,26,2000,2000-11-06,1995-01-23,NA,4802.66666666667
"3",39,4535,0,25,NA,NA,0,26,2001,2001-08-01,1995-04-02,NA,4534.70833333333
"4",409,3534,0,21,NA,NA,0,25,2004,2004-04-28,1999-01-11,NA,3533.70833333333
"5",507,3608,0,21,NA,NA,0,24,2004,2004-02-14,1999-09-02,NA,3607.66666666667
"6",552,4411,1,24,25,2001,0,25,2001,2001-04-14,1996-10-14,2001-05-31,47
"7",667,5069,0,27,NA,NA,0,27,2000,2000-02-14,1993-05-21,NA,5068.66666666667
"8",774,4891,1,25,25,2000,0,25,2000,2000-06-05,1995-05-18,2000-08-10,66
"9",804,4824,0,23,NA,NA,0,23,2000,2000-10-16,1997-08-13,NA,4823.70833333333
"10",806,4824,0,22,NA,NA,0,22,2000,2000-10-16,1998-10-03,NA,4823.70833333333
"11",871,4324,0,26,NA,NA,0,28,2002,2002-02-28,1994-04-20,NA,4323.66666666667
"12",1492,2726,0,21,NA,NA,0,27,2006,2006-07-15,1999-12-29,NA,2725.70833333333
"13",1919,3855,0,23,NA,NA,0,26,2003,2003-06-12,1997-09-23,NA,3854.70833333333
"14",2411,4059,0,23,NA,NA,0,26,2002,2002-11-20,1997-04-24,NA,4058.66666666667
"15",2488,4700,1,25,26,2001,0,26,2001,2000-12-14,1995-07-02,2001-02-17,65
"16",2647,4737,0,27,NA,NA,0,27,2001,2001-01-11,1993-12-17,NA,4736.66666666667
"17",2649,4137,1,24,26,2002,0,26,2002,2001-06-12,1996-12-13,2002-09-03,448
"18",2651,4585,0,23,NA,NA,0,24,2001,2001-06-12,1997-11-10,NA,4584.70833333333
"19",2823,4920,0,24,NA,NA,1,24,2000,2000-07-12,1996-02-22,NA,4919.70833333333
"20",2839,3257,0,23,NA,NA,0,27,2005,2005-01-30,1997-10-01,NA,3256.66666666667
"21",2973,4058,0,20,NA,NA,0,23,2002,2002-11-21,2000-05-10,NA,4057.66666666667
"22",3057,3191,0,23,NA,NA,0,28,2005,2005-04-06,1997-09-01,NA,3190.70833333333
"23",3166,2989,0,21,NA,NA,0,26,2005,2005-10-25,1999-10-09,NA,2988.70833333333
"24",3356,2554,1,21,28,2007,0,27,2007,2005-04-12,1999-11-07,2005-05-11,29
"25",3454,4247,0,20,NA,NA,0,22,2002,2002-05-16,2000-04-01,NA,4246.70833333333
"26",3532,4409,0,24,NA,NA,0,25,2001,2001-12-05,1996-07-26,NA,4408.66666666667
"27",3631,4409,0,24,NA,NA,0,26,2001,2001-12-05,1996-06-04,NA,4408.66666666667
"28",3634,4409,0,26,NA,NA,0,27,2001,2001-12-05,1994-11-16,NA,4408.66666666667
"29",3752,3786,0,24,NA,NA,0,27,2003,2003-08-20,1996-08-30,NA,3785.70833333333
"30",3838,4550,0,26,NA,NA,1,27,2001,2001-07-17,1994-04-15,NA,4549.70833333333
"31",3934,4173,0,21,NA,NA,0,23,2002,2002-07-29,1999-04-23,NA,4172.70833333333
"32",4021,2730,0,15,NA,NA,0,21,2006,2006-07-11,2005-06-16,NA,2729.70833333333
"33",4037,4516,0,26,NA,NA,0,27,2001,2001-08-20,1994-03-26,NA,4515.70833333333
"34",4099,4836,0,24,NA,NA,0,25,2000,2000-10-04,1996-01-09,NA,4835.70833333333
"35",4119,3597,0,22,NA,NA,0,26,2004,2004-02-25,1998-02-11,NA,3596.66666666667
"36",4120,4338,0,25,NA,NA,0,27,2002,2002-02-14,1995-03-20,NA,4337.66666666667
"37",4121,4717,0,24,NA,NA,0,25,2001,2001-01-31,1996-05-15,NA,4716.66666666667
"38",4147,4168,1,22,24,2002,0,24,2002,2001-03-09,1998-08-05,2001-04-03,24.9583333333333
"39",4326,4403,0,25,NA,NA,0,27,2001,2001-12-11,1995-02-22,NA,4402.66666666667
"40",4356,3634,1,23,27,2004,0,27,2004,2001-08-10,1997-05-22,2001-12-02,114.041666666667
"41",4412,2780,1,22,28,2006,0,27,2006,2005-01-07,1998-12-21,2006-05-22,499.958333333333
"42",4443,3577,1,23,27,2004,0,27,2004,2003-04-17,1997-07-12,2003-05-20,33
"43",4533,4551,1,24,25,2001,0,25,2001,2000-11-04,1996-05-02,2001-05-21,197.958333333333
"44",4663,4628,1,27,28,2001,0,27,2001,2000-08-04,1993-12-26,2001-04-03,242
"45",4680,4709,0,23,NA,NA,0,24,2001,2001-02-08,1997-05-08,NA,4708.66666666667
"46",4681,4812,0,24,NA,NA,0,25,2000,2000-10-28,1996-01-28,NA,4811.70833333333
"47",4727,3282,1,23,28,2005,0,27,2005,2000-09-27,1997-10-04,2005-01-05,1561.04166666667
"48",4728,4843,0,21,NA,NA,0,21,2000,2000-09-27,1999-10-08,NA,4842.70833333333
"49",4778,3480,0,25,NA,NA,1,29,2004,2004-06-21,1995-10-21,NA,3479.70833333333
"50",4853,5033,0,25,NA,NA,1,25,2000,2000-03-21,1995-02-23,NA,5032.66666666667
"51",4854,5048,0,27,NA,NA,1,27,2000,2000-03-06,1993-01-30,NA,5047.66666666667
"52",4890,4307,0,25,NA,NA,0,27,2002,2002-03-17,1995-07-02,NA,4306.66666666667
"53",4892,4926,0,27,NA,NA,0,27,2000,2000-07-06,1993-12-27,NA,4925.70833333333
"54",5086,4666,0,23,NA,NA,0,24,2001,2001-03-23,1997-04-12,NA,4665.66666666667
"55",5099,5012,0,25,NA,NA,0,24,2000,2000-04-11,1995-12-08,NA,5011.70833333333
